stage,iteration,temperature,current_cost,new_cost,best_cost,current_distance,best_distance,accepted,reward,rem_idx,ins_idx,noise_idx,q_removed,unassigned,is_unvisited
stage1,41,314.15790180057303,3313.361028846128,3312.676611953498,3312.676611953498,3312.676611953498,3312.676611953498,1,0.00018590645510836758,1,0,0,6,0,1
stage1,42,314.154760221555,3312.676611953498,3398.6466633287337,3312.676611953498,3398.6466633287337,3312.676611953498,1,-0.023356655448502937,1,0,1,11,0,1
stage1,43,314.15161867395284,3398.6466633287337,3408.6521530576883,3312.676611953498,3408.6521530576883,3312.676611953498,1,-0.0026495666210972053,1,0,1,11,0,1
stage1,44,314.14847715776614,3408.6521530576883,3413.4785424153924,3312.676611953498,3413.4785424153924,3312.676611953498,1,-0.0012743307990629624,0,0,1,8,0,1
stage1,45,314.1453356729946,3413.4785424153924,3354.1005275815696,3312.676611953498,3354.1005275815696,3312.676611953498,1,0.015655646486831584,1,0,0,10,0,1
stage1,46,314.1421942196379,3354.1005275815696,3353.458216450155,3312.676611953498,3353.458216450155,3312.676611953498,1,0.00017235023623162293,0,0,0,5,0,1
stage1,47,314.1390527976957,3353.458216450155,3317.4250121434866,3312.676611953498,3317.4250121434866,3312.676611953498,1,0.009670579378898748,2,0,0,6,0,1
stage1,48,314.1359114071677,3317.4250121434866,3314.0938215655265,3312.676611953498,3314.0938215655265,3312.676611953498,1,0.0009037345257811751,2,0,0,11,0,1
stage1,49,314.13277004805366,3314.0938215655265,3301.581587448008,3301.581587448008,3301.581587448008,3301.581587448008,1,0.0033979154822017035,1,0,0,9,0,1
stage1,50,314.1296287203532,3301.581587448008,3288.139933846041,3288.139933846041,3288.139933846041,3288.139933846041,1,0.0036641494148631007,0,0,0,12,0,1
stage1,51,314.126487424066,3288.139933846041,3299.0036705965163,3288.139933846041,3299.0036705965163,3288.139933846041,1,-0.002973524020308781,1,0,1,11,0,1
stage1,52,314.1233461591918,3299.0036705965163,3299.0036705965163,3288.139933846041,3299.0036705965163,3288.139933846041,1,0.0,2,0,0,4,0,0
stage1,53,314.1202049257302,3299.0036705965163,3293.057521147701,3288.139933846041,3293.057521147701,3288.139933846041,1,0.0016221668837870361,0,0,0,4,0,1
stage1,54,314.117063723681,3293.057521147701,3296.2311475841084,3288.139933846041,3296.2311475841084,3288.139933846041,1,-0.0008673592169052028,0,0,1,11,0,1
stage1,55,314.1139225530438,3296.2311475841084,3292.8388931454724,3288.139933846041,3292.8388931454724,3288.139933846041,1,0.0009262181133777642,1,0,0,6,0,1
stage1,56,314.11078141381824,3292.8388931454724,3292.4704243272695,3288.139933846041,3292.4704243272695,3288.139933846041,1,0.00010071003992116184,1,0,0,12,0,1
stage1,57,314.1076403060041,3292.4704243272695,3291.170097730635,3288.139933846041,3291.170097730635,3288.139933846041,1,0.00035544554275233876,1,0,1,5,0,1
stage1,58,314.10449922960106,3291.170097730635,3291.170097730635,3288.139933846041,3291.170097730635,3288.139933846041,1,0.0,2,0,0,6,0,0
stage1,59,314.1013581846088,3291.170097730635,3301.9551016820683,3288.139933846041,3301.9551016820683,3288.139933846041,1,-0.002949256121092888,1,0,1,10,0,1
stage1,60,314.09821717102693,3301.9551016820683,3296.7090826735384,3288.139933846041,3296.7090826735384,3288.139933846041,1,0.0014298853140891302,1,0,1,11,0,1
stage1,61,314.0950761888552,3296.7090826735384,3304.110076869005,3288.139933846041,3304.110076869005,3288.139933846041,1,-0.00202046786928435,2,0,1,6,0,1
stage1,62,314.09193523809336,3304.110076869005,3297.2363106941116,3288.139933846041,3297.2363106941116,3288.139933846041,1,0.0018723315547846992,2,0,0,7,0,1
stage1,63,314.088794318741,3297.2363106941116,3291.071610489702,3288.139933846041,3291.071610489702,3288.139933846041,1,0.0016826910967751396,2,0,1,7,0,1
stage1,64,314.08565343079783,3291.071610489702,3293.6716247781005,3288.139933846041,3293.6716247781005,3288.139933846041,1,-0.0007110185181326244,2,0,1,11,0,1
stage1,65,314.08251257426355,3293.6716247781005,3293.1961426161706,3288.139933846041,3293.1961426161706,3288.139933846041,1,0.00012992611118776718,0,0,1,4,0,1
stage1,66,314.0793717491378,3293.1961426161706,3295.1961426161706,3288.139933846041,3295.1961426161706,3288.139933846041,1,-0.000546581473452732,2,0,1,6,0,1
stage1,67,314.07623095542033,3295.1961426161706,3318.02550282601,3288.139933846041,3318.02550282601,3288.139933846041,1,-0.006235265914259904,2,0,1,10,0,1
stage1,68,314.0730901931108,3318.02550282601,3311.2754560180033,3288.139933846041,3311.2754560180033,3288.139933846041,1,0.0018309208660487134,2,0,0,10,0,1
stage1,69,314.06994946220885,3311.2754560180033,3311.2754560180033,3288.139933846041,3311.2754560180033,3288.139933846041,1,0.0,2,0,0,6,0,0
stage1,70,314.06680876271423,3311.2754560180033,3311.2754560180033,3288.139933846041,3311.2754560180033,3288.139933846041,1,0.0,2,0,0,6,0,0
stage1,71,314.0636680946266,3311.2754560180033,3285.408410767004,3285.408410767004,3285.408410767004,3285.408410767004,1,0.0070306264263182575,0,0,1,11,0,1
stage1,72,314.0605274579457,3285.408410767004,3279.339459583281,3279.339459583281,3279.339459583281,3279.339459583281,1,0.0016625196573584154,0,0,1,9,0,1
stage1,73,314.05738685267113,3279.339459583281,3288.9647709332285,3279.339459583281,3279.339459583281,3279.339459583281,0,-0.002641623510380196,1,0,1,12,0,1
stage1,74,314.0542462788026,3279.339459583281,3282.1241363032727,3279.339459583281,3282.1241363032727,3279.339459583281,1,-0.0007642420307140142,2,0,1,7,0,1
stage1,75,314.0511057363398,3282.1241363032727,3289.234506837918,3279.339459583281,3289.234506837918,3279.339459583281,1,-0.0019497536398451372,2,0,1,12,0,1
stage1,76,314.0479652252825,3289.234506837918,3247.017434060761,3247.017434060761,3247.017434060761,3247.017434060761,1,0.01155143101546994,2,0,1,7,0,1
stage1,77,314.04482474563025,3247.017434060761,3235.6822493757923,3235.6822493757923,3235.6822493757923,3235.6822493757923,1,0.0031418575426968003,0,0,0,9,0,1
stage1,78,314.0416842973828,3235.6822493757923,3232.412957995139,3232.412957995139,3232.412957995139,3232.412957995139,1,0.0009093483277461698,0,0,0,12,0,1
stage1,79,314.03854388053986,3232.412957995139,3194.0705296282954,3194.0705296282954,3194.0705296282954,3194.0705296282954,1,0.010675673553654659,1,0,1,10,0,1
stage1,80,314.0354034951011,3194.0705296282954,3168.8676813414445,3168.8676813414445,3168.8676813414445,3168.8676813414445,1,0.007101459798010612,2,0,0,12,0,1
stage1,81,314.03226314106615,3168.8676813414445,3168.8676813414445,3168.8676813414445,3168.8676813414445,3168.8676813414445,1,0.0,1,0,0,9,0,0
stage1,82,314.02912281843476,3168.8676813414445,3164.2745563512017,3164.2745563512017,3164.2745563512017,3164.2745563512017,1,0.001304507763312038,0,0,0,8,0,1
stage1,83,314.02598252720657,3164.2745563512017,3167.5553505063954,3164.2745563512017,3167.5553505063954,3164.2745563512017,1,-0.0009331411314317693,1,0,1,11,0,1
stage1,84,314.0228422673813,3167.5553505063954,3166.944875025984,3164.2745563512017,3166.944875025984,3164.2745563512017,1,0.00017345487973318113,0,0,0,11,0,1
stage1,85,314.01970203895866,3166.944875025984,3166.318330062572,3164.2745563512017,3166.318330062572,3164.2745563512017,1,0.00017805503073879293,2,0,0,6,0,1
stage1,86,314.01656184193826,3166.318330062572,3166.272744192757,3164.2745563512017,3166.272744192757,3164.2745563512017,1,1.2957409381131669e-05,0,0,0,8,0,1
stage1,87,314.01342167631987,3166.272744192757,3092.676554232766,3092.676554232766,3092.676554232766,3092.676554232766,1,0.020919414186751813,1,0,1,12,0,1
stage1,88,314.01028154210314,3092.676554232766,3093.8471111366757,3092.676554232766,3093.8471111366757,3092.676554232766,1,-0.0003406438387734758,2,0,1,7,0,1
stage1,89,314.00714143928775,3093.8471111366757,3092.319247091676,3092.319247091676,3092.319247091676,3092.319247091676,1,0.00044445558914334724,1,0,0,5,0,1
stage1,90,314.00400136787334,3092.319247091676,3092.319247091676,3092.319247091676,3092.319247091676,3092.319247091676,1,0.0,1,0,0,11,0,0
stage1,91,314.0008613278597,3092.319247091676,3083.9620299205517,3083.9620299205517,3083.9620299205517,3083.9620299205517,1,0.0024323153119089817,0,0,0,12,0,1
stage1,92,313.9977213192464,3083.9620299205517,3078.067287940511,3078.067287940511,3078.067287940511,3078.067287940511,1,0.001720276621620158,2,0,0,11,0,1
stage1,93,313.99458134203326,3078.067287940511,3078.067287940511,3078.067287940511,3078.067287940511,3078.067287940511,1,0.0,2,0,0,9,0,0
stage1,94,313.99144139621984,3078.067287940511,3078.505855500002,3078.067287940511,3078.505855500002,3078.067287940511,1,-0.00012823332520642646,0,0,1,11,0,1
stage1,95,313.9883014818059,3078.505855500002,3078.505855500002,3078.067287940511,3078.505855500002,3078.067287940511,1,0.0,2,0,1,6,0,0
stage1,96,313.9851615987911,3078.505855500002,3078.505855500002,3078.067287940511,3078.505855500002,3078.067287940511,1,0.0,2,0,0,12,0,0
stage1,97,313.9820217471751,3078.505855500002,3076.3270217843833,3076.3270217843833,3076.3270217843833,3076.3270217843833,1,0.0006369811967559885,0,0,0,8,0,1
stage1,98,313.9788819269576,3076.3270217843833,3197.912467443939,3076.3270217843833,3076.3270217843833,3076.3270217843833,0,-0.03557063352456219,0,0,1,8,0,1
stage1,99,313.97574213813834,3076.3270217843833,3076.3270217843833,3076.3270217843833,3076.3270217843833,3076.3270217843833,1,0.0,2,0,0,12,0,0
stage1,100,313.972602380717,3076.3270217843833,3077.652683664127,3076.3270217843833,3077.652683664127,3076.3270217843833,1,-0.00038783122968416366,0,0,1,6,0,1
stage1,101,313.9694626546932,3077.652683664127,3072.788101282089,3072.788101282089,3072.788101282089,3072.788101282089,1,0.001422553027855548,0,0,1,9,0,1
stage1,102,313.96632296006663,3072.788101282089,3109.9561243994403,3072.788101282089,3109.9561243994403,3072.788101282089,1,-0.010886276470433822,1,0,1,11,0,1
stage1,103,313.96318329683703,3109.9561243994403,3110.8117754246787,3072.788101282089,3110.8117754246787,3072.788101282089,1,-0.00024761954571407585,0,0,1,5,0,1
stage1,104,313.9600436650041,3110.8117754246787,3107.6237818632335,3072.788101282089,3107.6237818632335,3072.788101282089,1,0.0009223297365553305,2,0,1,11,0,1
stage1,105,313.9569040645675,3107.6237818632335,3109.603299311568,3072.788101282089,3109.603299311568,3072.788101282089,1,-0.0005732887339512749,1,0,1,8,0,1
stage1,106,313.95376449552685,3109.603299311568,3084.211034066006,3072.788101282089,3084.211034066006,3072.788101282089,1,0.0073491813975323965,0,0,0,12,0,1
stage1,107,313.9506249578819,3084.211034066006,3083.0312565438453,3072.788101282089,3083.0312565438453,3072.788101282089,1,0.00034426949330534993,2,0,0,6,0,1
stage1,108,313.94748545163236,3083.0312565438453,3210.010420332686,3072.788101282089,3083.0312565438453,3072.788101282089,0,-0.037067819915023725,1,0,1,7,0,1
stage1,109,313.94434597677787,3083.0312565438453,3203.8087279460824,3072.788101282089,3203.8087279460824,3072.788101282089,1,-0.03525741882483166,2,0,1,7,0,1
stage1,110,313.9412065333181,3203.8087279460824,3202.685622320465,3072.788101282089,3202.685622320465,3072.788101282089,1,0.00031549794288240516,0,0,0,6,0,1
stage1,111,313.9380671212528,3202.685622320465,3197.1863438069713,3072.788101282089,3197.1863438069713,3072.788101282089,1,0.0015453751150755499,1,0,1,11,0,1
stage1,112,313.9349277405816,3197.1863438069713,3193.4048523871247,3072.788101282089,3193.4048523871247,3072.788101282089,1,0.0010644804249380984,0,0,0,9,0,1
stage1,113,313.9317883913042,3193.4048523871247,3187.2311319182236,3072.788101282089,3187.2311319182236,3072.788101282089,1,0.0017399448797910976,1,0,1,6,0,1
stage1,114,313.92864907342033,3187.2311319182236,3104.5587852189005,3072.788101282089,3104.5587852189005,3072.788101282089,1,0.023344749392119012,2,0,0,9,0,1
stage1,115,313.92550978692964,3104.5587852189005,3104.5587852189005,3072.788101282089,3104.5587852189005,3072.788101282089,1,0.0,0,0,0,8,0,0
stage1,116,313.9223705318318,3104.5587852189005,3104.5587852189005,3072.788101282089,3104.5587852189005,3072.788101282089,1,0.0,0,0,0,11,0,0
stage1,117,313.9192313081265,3104.5587852189005,3105.2303990419027,3072.788101282089,3105.2303990419027,3072.788101282089,1,-0.00019469833960942414,2,0,1,9,0,1
stage1,118,313.9160921158134,3105.2303990419027,3115.8320103540213,3072.788101282089,3115.8320103540213,3072.788101282089,1,-0.003072702812599898,2,0,1,10,0,1
stage1,119,313.91295295489226,3115.8320103540213,3118.477925486172,3072.788101282089,3118.477925486172,3072.788101282089,1,-0.000764265727748566,0,0,1,5,0,1
stage1,120,313.90981382536273,3118.477925486172,3258.6491651684305,3072.788101282089,3118.477925486172,3072.788101282089,0,-0.04045374658034986,1,0,1,12,0,1
stage1,1,215.70235401886444,22990.269570566383,2994.246610726242,2994.246610726242,2994.246610726242,2994.246610726242,1,0.1749258192545926,1,0,0,6,0,1
stage1,2,215.70019699532426,2994.246610726242,2994.292196596057,2994.246610726242,2994.292196596057,2994.246610726242,1,-1.3702038665159133e-05,0,0,1,8,0,1
stage1,3,215.6980399933543,2994.292196596057,2994.292196596057,2994.246610726242,2994.292196596057,2994.246610726242,1,0.0,0,0,1,7,0,0
stage1,4,215.6958830129544,2994.292196596057,2994.0896403419306,2994.0896403419306,2994.0896403419306,2994.0896403419306,1,6.088271175432221e-05,2,0,0,4,0,1
stage1,5,215.69372605412428,2994.0896403419306,3005.382687678255,2994.0896403419306,3005.382687678255,2994.0896403419306,1,-0.0033946019737509502,2,0,1,5,0,1
stage1,6,215.69156911686375,3005.382687678255,3004.5995699135174,2994.0896403419306,3004.5995699135174,2994.0896403419306,1,0.00023451455654999168,1,0,0,8,0,1
stage1,7,215.6894122011726,3004.5995699135174,2998.7096468146256,2994.0896403419306,2998.7096468146256,2994.0896403419306,1,0.0017642719655834907,2,0,1,10,0,1
stage1,8,215.68725530705058,2998.7096468146256,3006.556341367424,2994.0896403419306,3006.556341367424,2994.0896403419306,1,-0.002355021302252531,0,0,1,9,0,1
stage1,9,215.68509843449752,3006.556341367424,3017.8219023443044,2994.0896403419306,3017.8219023443044,2994.0896403419306,1,-0.0033722983134189177,0,0,1,11,0,1
stage1,10,215.68294158351318,3017.8219023443044,3017.8219023443044,2994.0896403419306,3017.8219023443044,2994.0896403419306,1,0.0,2,0,0,9,0,0
stage1,11,215.68078475409735,3017.8219023443044,3069.9141227109762,2994.0896403419306,3069.9141227109762,2994.0896403419306,1,-0.015535376124609953,2,0,1,10,0,1
stage1,12,215.6786279462498,3069.9141227109762,3064.791017085359,2994.0896403419306,3064.791017085359,2994.0896403419306,1,0.0015019296562550056,0,0,0,8,0,1
stage1,13,215.67647115997036,3064.791017085359,3064.791017085359,2994.0896403419306,3064.791017085359,2994.0896403419306,1,0.0,2,0,0,8,0,0
stage1,14,215.67431439525876,3064.791017085359,3071.232706352379,2994.0896403419306,3071.232706352379,2994.0896403419306,1,-0.001891652744999107,2,0,0,12,0,1
